name,lat,lon,type,opening_hours
AB Bank,23.791309,90.401534,bank,
AB Bank,23.813157,90.410393,bank,
AB Bank ATM,23.818858,90.36511,atm,
AB Bank Atm,23.752674,90.384906,atm,
AB Bank Limited,23.751385,90.39308,bank,
AB Bank Limited,23.78498,90.568664,bank,
AB Bank Limited,23.764469,90.392539,bank,
AB Bank Limited,23.790573,90.375518,atm,
AB Bank Limited ATM Booth,23.745942,90.41265,atm,
AB Bank Limited | ATM Booth,23.737855,90.428655,bank,
AB Bank Ltd,23.741269,90.383052,atm,
"AB Bank Ltd.(Kalampur Branch), Bank",23.919339,90.14923,bank,
AB COMMERCIAL,23.67341,90.518656,shop_yes,
AB Computer Scale এবি কম্পিউটার স্কেল,23.636638,90.474816,fuel,
AB Computers,23.750451,90.387133,shop_electronics,
AB Electronics এবি ইলেকট্রনিক্স,23.847573,90.256567,shop_electronics,
"AB Filling Station, Barisal Hwy, Tekerhat",23.236521,90.02097,fuel,
AB Paper House,24.228392,90.053589,shop_yes,
AB Stitch,23.733531,90.384925,shop_clothes,
AB Trading Corporation,23.738957,90.387816,shop_trade,
"AB-TREDARS, Market",23.96255,89.839873,marketplace,
ABAKAZ,23.822375,90.362853,shop_yes,
ABAKAZ,23.82238,90.362872,building_commercial,
"ABB Turbocharging Service station, ABB Limited",23.938119,90.385146,shop_wholesale,
ABC Eye Hospital এবিসি চক্ষু হাসপাতাল,24.014557,90.38363,hospital,
ABC Radio FM 89.2 FM,23.752593,90.392648,shop_electronics,
ABC Service Point,23.79429,90.36528,shop_motorcycle_repair,
ABC Super Shop এবিসি সুপার শপ,24.220127,90.413673,marketplace,
ABK International,23.738629,90.385472,shop_computer,
ABM Jobayar CNG Filling Station এবিএম জোবায়ের সিএনজি ফিলিং স্টেশন,23.650853,90.466671,fuel,
"ABN Paget CNG Station, Gas station",23.778676,90.356957,fuel,
ACC,23.883629,90.302462,building_commercial,
ACG Gas Station,23.806301,90.26094,fuel,
ACI Harbour,23.760006,90.367363,shop_seafood,
"ACI Limited Gazipur Depot, Warehouse",23.999189,90.382203,shop_wholesale,
ACI Motors Show Room এসিআই মটরস শো রুম,24.000251,90.382928,shop_car,
ACI Motors Showroom,24.024944,90.385059,shop_motorcycle,
"AD Bike spare parts And servicing center, Auto repair shop",24.026131,90.242622,shop_car_repair,
AD Holding Limited Bldg,23.730196,90.406606,building_commercial,
"ADBM HIGH SCHOOL, High school",24.198221,90.417906,school,
ADC Empire Plaza,23.747679,90.370718,building_commercial,
ADC Sergical,23.604724,89.836357,pharmacy,
ADDA Kabab & Restuarant,23.839335,90.256715,restaurant,
"ADMA MEMORIAL HOSPITAL AND DIGITAL DIAGNOSTIC CENTER, Hospital, Bhanga - Barisal Hwy, Tekerhat",23.222747,90.020017,hospital,
ADN Telecom,23.781088,90.402537,building_commercial,
ADONIS Men's Salon,23.784019,90.417318,shop_hairdresser,
"AFC Mini Chinese, Hasara Bus Stand, Dhaka - Mawa Hwy, Solepur",23.58602,90.309323,restaurant,
AFC Pharmacy,23.717857,90.425248,pharmacy,
AFC Pharmacy,23.708098,90.423974,building_commercial,
AFLAH ZONE,23.70012,90.433265,shop_clothes,24/7
AG Food,23.624998,90.49837,restaurant,
AHAD H/W PAINT & ELECTRIC,23.929874,90.452487,shop_yes,
AHB CNG Filling Station,23.894123,90.670464,fuel,
AHN Tower,23.746304,90.392971,building_commercial,
AIMS Hospital,23.77338,90.425862,hospital,
AIUB Parking Space,23.822612,90.427591,parking,
AJ Heights,23.783181,90.42526,building_commercial,
"AKASH DTH CENTRAL WARE HOUSE (BEXIMCO COMMUNICATION), Warehouse",24.025572,90.242591,shop_wholesale,
AKIK TELECOM,23.912713,90.424466,shop_mobile_phone,
AKS Pharmacy,23.796302,90.387488,pharmacy,Mo-Su 07:00-12:00
AKS Pharmacy,23.745581,90.385099,pharmacy,
AL ARABIAN,23.741976,90.410812,shop_bakery,
AL Madani Restaurant,23.82587,90.258407,restaurant,
AL-ARAFAH ISLAMI BANK LIMITED,23.615015,90.512219,bank,
AL-KHABBAZ,23.741899,90.410664,shop_bakery,
AL-Makkah Pharmacy,23.788561,90.366491,pharmacy,
AL-Modina Cosmetics,23.372035,90.093721,shop_cosmetics,
ALFRESCO,23.790965,90.404118,restaurant,
ALHAJ ABU TALEB MOLLAH JUNIOR SCHOOL,23.795548,90.675931,school,
ALIX AVIEN,23.791143,90.402734,shop_cosmetics,
ALOR DISHARY IDEAL SCHOOL,23.989929,90.365595,school,
"ALPHA BANGLA HIGH SCHOOL, Middle school",23.809544,90.341479,school,
AM Computer,23.738672,90.385434,shop_computer,
AMAN (PVT.) LTD.,23.784402,90.399904,building_commercial,
AMERICAN Burger,23.790841,90.405225,restaurant,
"AMMAJAN MINI CHINESE, Family restaurant",23.913896,90.3179,restaurant,
AMS International Sweaters L.T.D,23.94996,90.381449,shop_yes,
AMZ HOSPITAL LTD,23.784302,90.425987,hospital,
AMZ Hospital Ltd,23.784302,90.425985,hospital,
AN-NAFEE HOTEL AND RESTAURANT,23.808905,90.367048,restaurant,
ANIZOR,23.790789,90.406815,shop_clothes,
ANJUM kabab ghor,23.728117,90.422206,restaurant,08:00-23:00
APBN Headquarter,23.857305,90.404499,police,
APEX,23.791922,90.415317,shop_shoes,
APT,23.798735,90.353084,shop_clothes,
AQP Shopping Mall,23.741613,90.408239,shop_mall,
AR Computer,23.623447,90.500756,shop_computer,
AR Market,23.789185,90.573951,shop_mall,
ARA Bhaban,23.752076,90.392164,building_commercial,
ARA Center,23.745016,90.381523,shop_mall,
ARAIHAZAR PILOT MODEL GOVT. HIGH SCHOOL,23.791328,90.662373,school,
ARAX,23.791156,90.402943,restaurant,
ARCHIES Gift Shop,23.701486,90.42777,shop_gift,
ARMY IBA Business School,23.907052,90.265254,school,
ARROWHEAD GRILL,23.79071,90.404069,restaurant,
ART Furnishers,23.792709,90.40443,shop_furniture,
ARTISAN,23.790828,90.403829,shop_clothes,
AS International School,23.714156,90.364986,school,
AS Steel Fruit Shop আঃ রহমান ফ্রুট সপ,23.924134,90.615089,shop_yes,
ASA University Bangladesh,23.773201,90.366602,university,
"ASA University Bangladesh Permanent Campus, University",23.890831,90.361797,university,
"ASHKOR PLLAZA, Hardware store",24.371092,89.87835,shop_hardware,
ASK AUTO JAPAN জিজ্ঞাসা অটো জাপান,23.933611,90.267159,shop_mall,
ASR Enterprise,23.751546,90.402101,shop_car_repair,
ASTO RION,23.741889,90.409195,shop_clothes,
ATLAS FABRICS LTD.,23.601422,90.491165,shop_clothes,
ATN Bangla,23.753107,90.392676,shop_electronics,
ATN NEWS,23.754051,90.392093,shop_electronics,
ATS Power & Technology Ltd,24.22663,90.4098,shop_electronics,
AUMHS Field,23.851489,89.995033,school,
AYAT College of Nursing & Health Sciences (ACNHS),23.721155,90.42875,school,
AZ Pharma,23.766334,90.358143,pharmacy,
AZ Vision Care,23.797692,90.364891,shop_optician,
Aabco Money Changer,23.733392,90.415486,shop_money_lender,"Mo-We, Fr-Su 09:00-22:00"
Aagora,23.869457,90.389797,shop_supermarket,
Aakon Medicine Corner আকন মেডিসিন কর্ণার,23.902109,90.412814,pharmacy,
Aakondo genarel store,23.751409,90.405618,shop_convenience,
Aalok Diagnostic Center,23.808743,90.36835,hospital,
Aareya Sewing Center আরিয়া সুইং সেন্টার,23.885038,90.399693,shop_yes,
Aarong,23.861809,90.399437,shop_yes,
Aarong,23.861815,90.399438,shop_clothes,
Aarong,23.813009,90.423565,shop_clothes,
Aarong,23.758436,90.444183,shop_clothes,
Aarong,23.75083,90.390956,shop_clothes,
Aarong,23.790108,90.410729,shop_clothes,
Aarong Clothing store,23.749279,90.407323,shop_mall,
Aarong Gulshan Car Park,23.770492,90.409838,parking,
Aarushi Enterprise,23.690445,90.547181,shop_dairy,
Aastha,23.703527,90.419388,shop_furniture,
Aawal Hotel,23.783468,90.412177,restaurant,
